Come pianificare un progetto innovativo quando le tecnologie disponibili non sono ancora state testate,Creare un Gantt dettagliato a lungo termine,Inserire fasi pilota e milestone di revisione per validare le soluzioni,Bloccare il reclutamento del team finche non esiste un prototipo,Delegare l intero progetto a un fornitore esterno,B
Come valutare correttamente i rischi in fase di pianificazione se alcuni stakeholder rifiutano di condividere informazioni critiche,Ignorare i rischi di quell area e procedere con i dati disponibili,Rinunciare alla definizione del risk register,Usare stime di scenario peggiore e formalizzare tentativi di coinvolgimento,Ridurre lo scope per evitare controversie,C
Come si integra la definizione di milestone con l assegnazione delle risorse nella pianificazione,Separare completamente milestone e carico del team,Caricare tutte le risorse sulle prime fasi ignorando i colli di bottiglia,Rendere coerenti le milestone con la disponibilita effettiva delle risorse e definire sequenze fattibili,Delegare ai manager funzionali la pianificazione dei compiti,C
Cosa fare se nella fase di pianificazione il budget fornito e notevolmente inferiore a qualsiasi stima realistica,Procedere ugualmente sperando in un aumento successivo,Concordare scope ridotto o identificare fonti di finanziamento aggiuntive,Rifiutare il progetto per mancanza di fondi,Abbandonare la definizione di baseline e passare direttamente al rischio,B
Come trattare le dipendenze tra attivita se gli stakeholder premono per un inizio simultaneo di tutti i task,Accontentare la richiesta e avviare tutte le attivita in parallelo,Ridurre la varieta di competenze nel team,Pianificare i task in modo da rispettare le relazioni di precedenza e spiegare i rischi di un eccesso di parallelismo,Inserire buffer di emergenza su ogni attivita,C
In che modo si pianifica la qualita su un progetto complesso in cui gli standard aziendali non sono definiti,Usare standard casuali presi da progetti passati,Concordare criteri minimi con il cliente e integrare un piano di test e procedure di verifica,Rinunciare al controllo qualita e ridurre i costi,Adottare le normative di un settore diverso,B
Come stimare correttamente i tempi se i task dipendono da fornitori con tempi imprevedibili,Suddividere i task in un unico gruppo e stabilire una data arbitraria,Spostare tutti i task a fine progetto e usare un buffer lunghissimo,Inserire ipotesi di lead time e prevedere margini di sicurezza negoziando con i fornitori,Usare la data di consegna contrattuale ignorando i rischi,C
Come pianificare la comunicazione quando il progetto coinvolge stakeholder in fusi orari multipli,Imporre un unico orario di meeting senza eccezioni,Suddividere il team per zone e non comunicare con le altre aree,Definire un piano di comunicazione con slot orari flessibili e canali asincroni,Trasferire la responsabilita di allineamento al PMO,C
Quale approccio seguire se non esiste una WBS predefinita e il progetto e nuovo per l organizzazione,Forzare una WBS generica presa da un altro progetto,Creare la WBS collaborando con gli esperti interni ed esterni cosi da identificare correttamente il lavoro,Abbandonare l idea di una WBS,Usare template standard di un settore diverso,B
Perche la definizione di uno scope statement chiaro e fondamentale in pianificazione,Per generare confusione sulla dimensione del budget,Perche cosi si riducono i tempi di esecuzione,Per assicurare che tutti concordino su obiettivi limiti e deliverable prevenendo future incomprensioni,Per obbligare i fornitori a firmare penali,C
Come assicurarsi che la pianificazione includa un adeguato margine per attivita di gestione dei rischi,Ignorare del tutto le possibili minacce,Creare una sezione dedicata alla risk response con budget e tempi per azioni correttive e preventive,Inserire i rischi nel Gantt senza dettagli,Chiedere al committente di definire i rischi,C
Che fare se il cliente rifiuta di definire criteri di accettazione formale nella pianificazione,Procedere senza criteri e confidare nella comprensione finale,Concordare almeno criteri minimi di accettazione e spiegare i rischi di ambiguita,Chiedere al team di stabilire i parametri in autonomia,Usare quelli di un progetto differente,B
Se i requisiti cambiano spesso gia in avvio come impostare la baseline,Bloccare i requisiti al primo draft,Creare una baseline flessibile e prevedere un robusto processo di change control,Eliminare la WBS e passare direttamente al risk management,Rifiutare il progetto e aspettare un contesto stabile,B
Come integrare la strategia di sourcing nella pianificazione se l azienda non ha un ufficio acquisti strutturato,Ignorare ogni aspetto di procurement,Esternalizzare l intero progetto a un partner,Definire un piano di approvvigionamento basato su esigenze e tempi di mercato e valutare la costruzione di competenze interne,Usare un procurement generico preso da un manuale,C
Qual e il rischio principale di pianificare un lavoro creativo basandosi su un Gantt rigidissimo senza iterazioni,Ridurrebbe la confusione,Permetterebbe di concludere in anticipo,Potrebbe soffocare l innovazione e non gestire correttamente revisioni e feedback,Concederebbe un buffer infinito,C
Come gestire un piano di comunicazione se alcuni stakeholder chiave hanno disponibilita limitata solo in alcune fasi,Programmare meeting quotidiani con tutti,Progettare canali e tempi di comunicazione differenziati e pianificare incontri cruciali quando i decisori sono disponibili,Ignorare completamente la loro agenda,Lasciare che si auto aggiornino sul portale aziendale,B
Come includere una stima realistica dei costi se il progetto richiede competenze specialistiche rare,Imporre tariffe standard a prescindere,Analizzare il mercato per capire le tariffe delle competenze e valutare l eventuale formazione interna,Usare un costo forfettario unico per tutte le risorse,Applicare un fattore di rischio fisso del 50 per cento,B
Qual e la strategia migliore per generare una WBS estesa se il cliente fornisce solo macro obiettivi,Creare una WBS di un rigo e passare all esecuzione,Chiedere al team di immaginare deliverable e controllare la fattibilita,Organizzare workshop di decomposizione con gli esperti e il cliente per definire dettagli incrementali,Limare i macro obiettivi e ridurre il contenuto,C
Perche e importante valutare i vincoli legali in fase di pianificazione soprattutto in settori regolamentati,Per delegarli tutti alla fase di chiusura,Perche ignorarli accelera la realizzazione,Per prevenire blocchi o sanzioni durante l esecuzione inserendo le attivita di compliance in schedulazione,Per ridurre il costo totale del progetto,C
Cosa fare se le stime fornite dagli esperti interni sono prive di dati storici e ampiamente incerte,Usare un buffer illimitato,Procedere con stime ipotetiche e definire range di incertezza documentati e da monitorare,Approssimare con una stima di una settimana per ogni deliverable,Attendere dati storici da un altro dipartimento,B
Come determinare la priorita dei requisiti se il cliente li considera tutti importanti in egual misura,Accettare la situazione e non definire priorita,Utilizzare tecniche come MoSCoW o ranking forzato negoziando con il cliente,Attribuire punteggi casuali e generare un Gantt,Chiedere al team di eliminare alcuni requisiti,B
Cosa fare se il PMO impone una milestone finale non trattabile troppo vicina rispetto al carico stimato,Bloccare il progetto in attesa di un parere legale,Adottare tecniche di compressione di schedule come crashing o fast tracking valutando i rischi aggiuntivi,Convincere il cliente a ridurre il budget,Rinunciare all analisi dei tempi,B
Perche e essenziale integrare nel piano le attivita di collaudo intermedio per i deliverable,Per semplificare l esecuzione e scoprire difetti solo alla fine,Per generare costi aggiuntivi,Per identificare problemi prima della consegna finale e attuare correzioni,Per ridurre la durata totale di un progetto,C
Che vantaggio porta un breakdown strutturato delle risorse nella pianificazione,Riduce la visibilita degli stakeholder,Genera confusione su costi e competenze,Permette di sapere quali risorse servono in ogni fase e facilita la stima di costi e tempi,Limita la capacita di negoziare con i fornitori,C
Come gestire un rischio potenziale di ritardi doganali se il progetto prevede spedizioni internazionali,Ignorare il problema nella pianificazione,Inserire un buffer generico di un giorno,Prevedere un piano di emergenza con margini di tempo e contratti di trasporto alternativi,Eliminare ogni fornitura dall estero,C
Se due attivita critiche non possono essere eseguite in parallelo per vincoli tecnici ma il cliente insiste sul parallelo come reagire,Accettare per soddisfare il cliente,Documentare la contraddizione e spiegare i rischi al cliente valutando compromessi,Rimuovere entrambe le attivita critiche,Diminuire la qualita di una delle attivita,B
Come determinare la lunghezza delle fasi se il progetto e diviso in stadi gate,Impostare tutte le fasi di pari durata,Rendere ogni stadio dipendente dai deliverable e definire criteri di uscita misurabili,Usare un timebox di due settimane per stadio,Assegnare un manager diverso a ogni stadio,B
Qual e il rischio di saltare la definizione di un piano di comunicazione strutturato in un progetto complesso,Non ci sono rischi si comunica informalmente,Può emergere caos informativo e ritardi per scarsa trasparenza,Elimina i conflitti,Riduce i costi operativi,B
In che modo si pianificano gli acquisti se le specifiche tecniche non sono ancora definitive,Si assegna un fornitore a caso,Si fa un bando di gara generico a tempo indefinito,Si stabiliscono requisiti minimi e si prevede un change control per modifiche,Si ignora la sezione procurement e si spera nella disponibilita a esecuzione,C
Che approccio seguire se la baseline dei tempi supera le aspettative della direzione,Eliminare alcune attivita essenziali,Concordare possibili interventi di compressione o scambio scope tempo,Negare la discrepanza e procedere,Chiedere un budget illimitato,B
Come impostare la resource calendar quando il progetto coincide con il periodo di ferie del personale chiave,Non considerare le ferie e creare un overlap di attivita,Assegnare i compiti a risorse non qualificate,Prevedere la reale indisponibilita delle persone e ripianificare di conseguenza,Delegare la definizione al PMO,C
In che modo si pianifica l engagement degli stakeholder se alcuni hanno interessi contrastanti,Si ignora il conflitto,Si cerca di stabilire piani di coinvolgimento differenziati e si negozia con le parti in modo da bilanciare i bisogni,Si assegna la priorita al manager piu influente,Si blocca la definizione delle milestone,B
Se il progetto e soggetto a un mercato con forte inflazione come si stima correttamente il budget,Usare i prezzi di listino attuali e ignorare l inflazione,Integrare un tasso di inflazione previsto e creare un contingency budget,Far definire i costi ai fornitori senza un tetto,Eliminare la voce costi variabili,B
Perche conviene definire un Work Breakdown Structure Dictionary insieme alla WBS,Per complicare la documentazione,Perche cosi i task sono piu visibili,Per rendere chiaro il contenuto di ogni work package e ridurre fraintendimenti,Per eliminare la necessita di milestone finali,C
Come affrontare la pianificazione se esistono alti vincoli etici e normativi,Ignorare i vincoli e correggere in seguito,Creare sezioni dedicate del piano che includano conformita e approvazioni normative,Trasferire la responsabilita al fornitore,Assumere un esperto legale in esecuzione,B
Come garantire che il team aderisca al piano di gestione dei rischi,Includere i rischi solo nel project charter,Creare un file excel separato,Definire responsabilita precise per il monitoraggio e l implementazione delle risposte e inserire risorse dedicate,Lasciare la gestione rischi al PMO,C
Se i costi del progetto dipendono da tassi di cambio valutario quali precauzioni adottare in pianificazione,Usare un tasso fisso a prescindere,Inserire un indice di cambio ottimistico e sperare,Creare ipotesi di range di cambio e definire un buffer finanziario,Chiedere al cliente di pagare in anticipo,C
Perche e utile uno schedule network diagram nel definire l ordine logico delle attivita,Per aumentare la complessita grafica,Perche fornisce un riscontro visivo delle dipendenze e aiuta a individuare percorsi critici e opportunita di parallelismo,Per ridurre la dimensione del team,Per eliminare i colli di bottiglia contrattuali,B
Che fare se la stima bottom up e in conflitto con i vincoli di tempo definiti dallo sponsor,Accettare la stima e rifiutare i vincoli,Forzare la stima a rientrare nei tempi sponsor,Presentare i risultati al management evidenziando la discrepanza e discutere soluzioni di riduzione scope o aumento risorse,Aggiungere un carico di lavoro al team,C
Come definire un piano di qualita se mancano standard aziendali formalizzati,Creare un indice di prove minime e testare ogni deliverable con metriche definite ad hoc,Usare la sezione qualita di un progetto precedente a caso,Eliminare la dimensione qualita,Assegnare la responsabilita al fornitore esterno,A
In che modo la tecnica del three point estimation puo ridurre l incertezza nei tempi,Proponendo un valore fisso privo di statistiche,Imponendo un Gantt con un solo scenario,Calcolando stime ottimistiche pessimistiche e piu probabili per avere una media ponderata,Rimandando la definizione a esecuzione,C
Se esiste un budget massimo imposto a priori ma i requisiti superano tale limite come trovare compromesso in pianificazione,Ignorare il tetto e chiedere sforamenti,Inserire penalita contrattuali al committente,Negoziare la riduzione di alcune funzionalita o i livelli di servizio e rivalutare priorita,Eliminare i costi di risk management,C
Perche e importante prevedere eventuali escalation path nella gestione dei conflitti di pianificazione,Per inasprire i rapporti con gli stakeholder,Per evitare che i conflitti restino irrisolti e rallentino l avanzamento,Per delegare ogni decisione al sponsor,Per bloccare la definizione della WBS,B
Cosa implica un rolling wave planning in un contesto di requisiti in evoluzione,Un piano dettagliato gia dall inizio in tutte le sue parti,Una mancanza di definizione qualsiasi,Rendere dettagliate le attivita a breve termine e lasciare piu generiche le fasi future che verranno specificate col progredire del progetto,Un eccesso di documentazione iniziale,C
Come gestire la pianificazione delle competenze se la stessa risorsa e richiesta su piu progetti in parallelo,Allocarla al 100 per cento in entrambi i progetti,Usare stime che ignorano il contesto,Coordinarsi con i manager funzionali e negoziare priorita e disponibilita effettiva,Rifiutare la risorsa e affidarsi a consulenti esterni,C
Se il piano di approvvigionamento prevede contratti con fornitori mai sperimentati come mitigare i rischi,Ignorare la situazione,Selezionare fornitori con minori costi,Suddividere i contratti in lotti e prevedere milestone di verifica per limitare l esposizione in caso di inaffidabilita,Eliminare la parte di scope affidata all esterno,C
Perche serve aggiornare la stakeholder list in corso di pianificazione se emergono nuove parti interessate,Per aggiungere piu confusione nelle riunioni,Perche le nuove parti interessate non hanno impatti,Per definire strategie di coinvolgimento e capire chi influenza i requisiti e le decisioni,Per ridurre il tempo di esecuzione,C
Come pianificare la gestione delle informazioni se l organizzazione non dispone di un sistema centralizzato,Usare esclusivamente email per ogni file,Implementare un repository condiviso e disciplinare come caricare documenti e tracciarli,Conservare tutto su cartelle personali,Imporre la stampa cartacea,B
In che modo la definizione di un procurement plan anticipato aiuta a ridurre i rischi di blocco durante l esecuzione,Non produce alcun effetto,Evita di dover firmare contratti,Permette di mappare tempi e modalita di acquisto chiarendo scadenze e responsabilita,Incrementa i costi di anticipo,C
Se la direzione chiede di limitare le fasi di test per ridurre i tempi come tutelare la qualita in pianificazione,Accettare la richiesta senza obiezioni,Prevedere doppi test per compensare la riduzione,Esplicitare i rischi di un test limitato e negoziare un compromesso,Distribuire le attivita di test su risorse non qualificate,C
Cosa fare se la definizione dello scope e astratta e il cliente parla soltanto di obiettivi qualitativi,Forzare la definizione in linguaggio tecnico,Proporre deliverable tangibili e cercare di tradurre la visione del cliente in parametri misurabili,Chiudere la pianificazione e avviare subito l esecuzione,Passare all acquisto di materiali generici,B
Perche conviene definire una approach agile in un progetto a requisiti fortemente variabili,Per evitare ogni forma di pianificazione,Per obbligare il cliente a test finali,Per consentire pianificazioni iterative e rivedere periodicamente backlog e priorita,Per avere un Gantt estremamente dettagliato sin dall avvio,C
Come si pianifica il budget se i costi di licenze software dipendono dal numero di utenti finali non ancora definito,Sottostimare i costi basandosi su dati incerti,Proporre un contratto di licenza illimitata senza analisi,Prevedere scenari di scala e definire un range di budget con margini di revisione,Caricare tutti i costi al fornitore,C
Quale e la finalita di redigere un RACI matrix nell ambito della pianificazione,Assegnare la responsabilita di ogni compito in modo chiaro evitando confusione,Creare un file non consultato da nessuno,Diminuire la coesione del team,Permettere al committente di cambiare sponsor,B
Come includere le revisioni di design nel piano temporale per un progetto creativo,Ignorare le revisioni e passare ai test finali,Prevedere slot dedicati per feedback e correzioni definendo soglie di iteration,Mettere la revisione design come ultima attivita vicino alla consegna,Delegare la definizione al marketing,B
Se si prevede di lavorare con metodologie ibride come si garantisce coerenza tra schedule rigido e backlog iterativo,Disegnando un Gantt senza backlog,Non e possibile unire i due mondi,Implementando meccanismi di revisione periodica e integrazione dei risultati con il framework agile e la baseline classica,Assegnando un doppio sponsor per le due metodologie,C
Che approccio seguire se la stima parametric cost indica un budget piu alto di quella analoga,Confrontare i due metodi e capire le differenze di base e assumere l opzione piu sensata,Scartare la stima piu alta,Scegliere sempre la stima piu bassa,Accorpare i costi in un range di 100 euro,A
Come pianificare la fase di collaudo se i vincoli contrattuali prevedono date fisse di consegna e penali,Posticipare i test oltre la data di consegna,Creare un test plan dettagliato e assicurarsi di avere tempo adeguato prima del delivery finale,Non menzionare i test nel planning,Integrare le penali nel budget di risk management,B
Perche e utile una definizione dettagliata di acceptance criteria per ogni deliverable primario,Per generare vincoli eccessivi,Per facilitare la stima dei tempi e ridurre l ambiguita nella validazione finale,Ridurre la priorita di alcuni requisiti,Negare la negoziazione con gli stakeholder,B
Come valutare la fattibilita di un piano se mancano competenze interne e non si dispone di budget per consulenti,Forzare il team a improvvisare,Ridurre la qualita e accettare i rischi,Segnalare la criticita al management e proporre opzioni possibili come formazione o outsourcing,Chiedere al fornitore di finanziare la formazione,C
In che modo definire la baseline e i baseline change threshold evita caos in pianificazione,Genera un eccesso di meeting,Previene modifiche disordinate e assicura un processo di valutazione formale per ogni variazione,Permette al PM di ignorare i rischi,Raddoppia i costi di configurazione,B
Se un attivita e bloccante per molte altre come evidenziarlo in planning,Inserirla in fondo al Gantt,Ignorare l impatto su altre attivita,Segnalare la sua criticita e i link di dipendenza cosi da proteggerla e monitorarla,Contrattare un fornitore esterno per ridurla al minimo,C
Cosa fare se nella definizione di un Gantt emergono troppi path critici,Procedere sperando che nessuno subisca ritardi,Discutere con il team come scomporre o parallelizzare alcune attivita e inserire buffer strategici,Eliminare la definizione di tempi nella WBS,Chiedere un raddoppio del budget,B
Perche inserire un piano di stakeholder engagement in cui si definisce frequenza e modalita di contatto,Per complicare la comunicazione,Per assicurarsi che ogni parte interessata riceva le informazioni e i momenti di confronto necessari,Per rimuovere i conflitti con i fornitori,Per ridurre i costi totali,B
Come integrare la definizione di skill e competenze richieste con la realta delle risorse disponibili in azienda,Ignorare la differenza,Specificare skill altissime e assumere chiunque,Conciliare i requisiti con un piano di formazione o selezione risorse per coprire gap e gestire i vincoli con i manager funzionali,Esternalizzare l intero progetto a un partner,C
Se un fattore esterno incerto potrebbe invalidare tutto il progetto come lo si prevede in fase di planning,Si ignora la variabile,Si trasforma in un risk showstopper e si definisce un trigger e piani di contingenza,Si definisce un budget infinito,Si passa direttamente alla chiusura,B
Perche e importante aggiungere un analisi cost benefit nel piano se il progetto e finanziato da sponsor esterni,Per ottemperare all archivio di chiusura,Per distinguere le responsabilita contrattuali,Per dimostrare la validita degli investimenti e ottenere consensi a eventuali revisioni,Per ridurre le milestone intermedie,C
Che impatto ha un risk management plan ben costruito in sede di pianificazione,Rende il team meno attento all esecuzione,Alza i costi di definizione,Permette di definire in anticipo strategie e risorse necessarie per affrontare eventi avversi,Blocca la definizione della schedule,C
Se la direzione vuole completare un progetto in meta tempo ma non fornisce risorse aggiuntive come riflettere cio nel piano,Eseguire la meta delle attivita,Accettare la richiesta e forzare tempi dimezzati,Esporre i compromessi su qualita costi o scope e chiedere una decisione informata,Imporre al team turni di 24 ore,C
Come pianificare l ordine delle attivita se alcune hanno dipendenze complesse e cross funzionali,Eliminare la cross funzionalita,Creare un flusso lineare senza considerare la realta,Costruire un diagramma delle dipendenze e definire un percorso logico ottimale con revisioni incrociate,Chiedere agli stakeholder di sbloccarsi a fine progetto,C
Perche usare la tecnica del critical chain anziche solo il critical path in certi ambienti incerti,Perche e la stessa cosa,Per prevedere buffering aggregato e proteggere le attivita critiche riducendo lo stress sulle singole durate,Per generare penali sul fornitore,Per ridurre la definizione dello scope,B
Come definire un piano di test sostenibile se il cliente vuole testare ogni piccola funzionalita,Accontentare tutte le richieste e triplicare i tempi,Inserire i test essenziali e negoziare un risk based testing su funzionalita piu critiche,Delegare i test a un consulente ignoto,Chiedere di rimuovere la WBS con i test,B
In che modo si valuta se un Gantt e troppo dettagliato,Se supera i 10 task non e eccessivo,Se rallenta le revisioni e confonde il team con microattivita eccessive,Se i costi scendono,Se si integrano fasi di controllo supplementari,B
Se la definizione del backlog appare enorme e il tempo e limitato come gestire la prioritizzazione,Concedere tutto in un solo sprint,Tagliare a meta i tempi di analisi,Stabilire un metodo di selezione e roadmap di rilasci in base al valore e al tempo disponibile,Ignorare la dimensione del backlog,C
Perche definire un monte ore complessivo per ogni ruolo prima di avviare l esecuzione,Raddoppia i costi di consultazione,Genera confusione nella baseline,Consente di stimare l effettiva disponibilita e pianificare assegnazioni realistiche,Evita la rendicontazione di scostamenti,C
Cosa si ottiene includendo un Change Control Board nella pianificazione,Un rallentamento forzato di ogni modifica,Nessun effetto sulla baseline,La sicurezza che le modifiche vengano valutate in modo integrato prima dell approvazione,La ripetizione di test infiniti,C
Quale vantaggio deriverebbe dalla definizione di acceptance test su ogni milestone parziale,Allunga i costi e basta,Evita di dover rifare i test finali,Consente al cliente di validare gradualmente e identificare difetti presto,Raddoppia la dimensione della WBS,C
Se i manager funzionali non collaborano alla stesura di un plan comune come assicurare l uso efficiente delle risorse,Rifiutare la condivisione,Assegnare un solo manager a ogni attivita,Formalizzare un Resource Breakdown e negoziare la partecipazione dei manager con piani di capacity,Decidere tutto in esecuzione,C
Come considerare un vincolo di sicurezza sul cantiere che puo rallentare alcune lavorazioni,Escluderlo dal planning,Definirlo come priorita di compliance e inserire attivita o buffer extra per gestirlo correttamente,Spingerlo in coda al progetto,Affidarlo al fornitore senza definizioni,B
Che fare se nella definizione iniziale non si hanno dati affidabili su costi di alcune tecnologie,Usare un costo zero,Stimare un costo fisso a caso,Proporre stime di range e definire check point per aggiornamenti man mano che i dati diventano piu chiari,Acquistare tutte le tecnologie insieme,C
Perche la definizione delle metriche di successo e indispensabile prima di finalizzare la pianificazione,Per rispettare un obbligo legale,Per garantire che team e stakeholder abbiano criteri chiari di valutazione e allineamento,Per ridurre i requisiti del cliente,Per bloccare la baseline temporale,B
Come si gestisce l eventualita che il committente richieda fasi di training post consegna,Ignorare la richiesta e passare in chiusura,Inserire un pacchetto di training come deliverable e pianificare tempi e costi dedicati,Rinunciare a definire test intermedi,Estendere la durate del collaudo finale,B
Cosa indica l introduzione di milestone contrattuali con pagamento a risultati ottenuti,Puo complicare la definizione del Gantt,Rende il progetto non vincolante,Rende i risultati piu tangibili e spinge al rispetto delle scadenze,Evita di dover rendicontare scostamenti,C
Che impatto ha un eccesso di vincoli fissi su tempi e costi nella pianificazione,Facilita la creazione di un Gantt ottimale,Obbliga a definire troppi deliverable,Limita la flessibilita e richiede un analisi approfondita per bilanciare scope risorse e rischi,Permette di ignorare i potenziali scostamenti,C
Se i deliverable intermedi non sono considerati dal cliente ma il team li ritiene essenziali come inserirli,Non inserirli in plan,Metterli come hidden tasks,Argomentare i benefici di milestone intermedie e documentarli nella schedule,Chiedere penali immediate,B
In che modo un margine di contingency ben strutturato riduce il rischio di fallimento in pianificazione,Permette di aumentare i costi,Complica la baseline,Offre risorse e tempo aggiuntivi per fronteggiare problemi non previsti,Obbliga ad allungare le milestone,C
Come reagire se la definizione del WBS dictionary risulta interminabile e il tempo stringe,Rinunciare a qualsiasi dettaglio,Creare una macro definizione e rivederla successivamente in rolling wave,Forzare tutti i dettagli in un unico giorno di workshop,Inserire la definizione in chiusura,B
Perche e utile definire un piano per la gestione documentale,Per complicare i flussi di lavoro,Per minimizzare la tracciabilita,Per sapere dove e come archiviare i file e chi ha accesso e versionamento,Per ignorare i passaggi di revisione,C
Se il cliente richiede un triage immediato per i bug ma non lo prevedeva in fase di definizione come integrarlo,Scartare la richiesta e proseguire,Aprire un new deliverable nel piano con tempi e risorse e negoziare eventuali riflessi su costi,Trasferirlo come attivita in chiusura,Delegare la decisione a un manager funzionale,B
Come pianificare la comunicazione se alcuni stakeholder parlano solo lingue diverse e l azienda non dispone di traduttori,Imporre una lingua comune e ignorare i non anglofoni,Chiedere al committente di ridurre gli stakeholder,Prevedere risorse o tool di traduzione e definire un canale unico coordinato,Usare mail scritte a mano,C
Perche definire un responsabile del controllo qualita in fase di planning,Evitare di testare i deliverable,Ridurre la dimensione del Gantt,Garantire che la qualita sia gestita in modo strutturato con processi e metriche chiare,Concedere la totalita del budget a un fornitore,C
Se emergono conflitti sulle priorita tra la direzione e il team tecnico durante la pianificazione come risolverli,Ritardare la definizione del scope,Ignorare il conflitto,Organizzare un meeting di negoziazione e chiarire i vincoli,Bloccare il progetto,C
In che modo la definizione di acceptance test su singoli moduli influenza la schedule complessiva,Non la influenza,Richiede di inserire tempi di test e correzione su ogni modulo evitando un unico test finale,Obbliga a ridurre i costi,Ottimizza i buffer per passare subito in esecuzione,B
Come si utilizzano i dati storici di progetti precedenti per migliorare la pianificazione,Si copiano integralmente i vecchi Gantt,Si ignorano le differenze di contesto,Si analizzano le lezioni apprese per ottimizzare stime e processi e comprendere i rischi tipici,Si delega la definizione al fornitore esterno,C
Cosa fare se la massima priorita del cliente e la qualita e secondariamente il costo,Tagliare la qualita se aumenta la spesa,Impostare i parametri di pianificazione in modo da privilegiare procedure test e standard elevati e valutare i costi di conseguenza,Minimizzare il monitoraggio di costi,Chiedere una riduzione del tempo di consegna,B
Come si pianifica l eventuale passaggio di consegne post progetto a un dipartimento interno,Non si pianifica affatto,Si elimina la chiusura,Si definiscono attivita di handover e formazione con milestone dedicate,Si lascia la responsabilita al team di esecuzione,C
Perche la definizione di un change management process solido e essenziale in progetti con scope variabile,Per evitare revisioni di baselines,Per bloccare le richieste di cambiamento,Per valutare impatti e approvare modifiche in modo trasparente senza generare caos,Per caricare costi extra al fornitore,C
Quale criterio determina l opportunita di emettere un project charter formale prima di qualsiasi analisi approfondita,Definire anticipatamente il budget dettagliato,Dimostrare in modo documentato la necessita e l autorita del progetto,Selezionare il team esecutivo senza coinvolgimento dello sponsor,Risolvere i conflitti tra risorse interne,B
Perche e essenziale individuare gli stakeholder principali gia nella fase di avvio,Per rimandare le comunicazioni a fine progetto,Perche cosi si ignora la baseline di costi e tempi,Per gestire aspettative e impatti fin dall inizio prevenendo futuri conflitti,Per ridurre la dimensione della WBS,C
Come si gestisce un iniziativa con sponsor incerto nella fase di avvio,Si inizia comunque con i fondi interni,Si definisce un project charter condiviso da piu stakeholder,Si posticipa a esecuzione per identificare il finanziatore,Si ignora la questione e si formalizza a fine progetto,B
Se durante l avvio emergono dubbi sulla fattibilita tecnica come procedere,Si avvia direttamente la fase di esecuzione,Si compila una WBS ipotetica e si aggiorna dopo,Si esplora con uno studio preliminare o proof of concept integrato nel project charter,Si rimuove ogni vincolo e si lancia un piano di emergenza,C
Cosa implica l assenza di un business case chiaro in avvio,Permette di passare subito ai deliverable,Potrebbe creare incertezza sugli obiettivi e portare a scarsa adesione degli stakeholder,Obbliga a definire uno scope ridotto,Garantisce un supporto incondizionato del top management,B
Perche il project manager deve essere formalmente nominato gia nel processo di avvio,Per gestire i conflitti in fase di esecuzione,Per deciderne il compenso in anticipo,Perche deve avere autorita riconosciuta per impostare piano e risorse,Per obbligare il team a rispettare gli standard,C
Quale scopo primario ha la stesura della project charter nella fase di avvio,Imporre penali ai fornitori,Delegare completamente al cliente la definizione dei requisiti,Formalizzare obiettivi generali vincoli e responsabilita rendendo ufficiale il progetto,Eliminare la necessita di una pianificazione dettagliata,C
Se il committente non e convinto della validita economica del progetto quale documento di avvio e piu indicato per chiarire i benefici,Un risk register preliminare,Una check list di risorse disponibili,Un business case dettagliato con analisi costi benefici,Una lettera di endorsement informale,C
Come si trattano le restrizioni legali e normative nella fase di avvio,Si ignorano e si discutono in fase di controllo,Si inseriscono nel project charter come vincoli di alto livello,Si affrontano dopo la definizione della baseline costi,Si delegano a un consulente nella fase di chiusura,B
Perche e cruciale definire l ambito di massima del progetto prima di passare alla pianificazione,Perche serve imporre un controllo qualita subito,Per generare un timesheet fisso,Per definire i confini del progetto e allineare le aspettative di tutti,Per evitare la revisione da parte dello sponsor,C
Che ruolo ha lo sponsor durante il processo di avvio,Non ha alcun ruolo specifico,Verifica i deliverable finali,Supporta e autorizza il lancio del progetto garantendo risorse e supporto,Si occupa soltanto di contrattare i fornitori,C
Nel processo di avvio perche bisogna identificare anche gli stakeholder negativi,Per premiarli con bonus,Perche non e necessario interessarsene,Per comprendere ostacoli potenziali e definire strategie di mitigazione,Per ridurre la portata del project charter,C
Cosa accade se non si definisce un project scope statement in avvio,Si riducono i costi di definizione,Si affidano i dettagli al team di esecuzione,Si rischia di avviare un progetto con obiettivi vaghi e confusi,Si ottiene la certezza di una baseline immutabile,C
Se il top management non fornisce fondi al di fuori del bilancio gia approvato come influisce sul processo di avvio,Obbliga a rifiutare qualsiasi iniziativa,Richiede un analisi finanziaria piu approfondita e un business case per giustificare la riallocazione,Concede ampia liberta di spesa,Abroga la necessita di definire sponsor,B
Perche e utile formalizzare i criteri di successo fin dall avvio,Per rimandare la valutazione dei deliverable a fine progetto,Per attribuire sanzioni ai manager funzionali,Per assicurare che tutto il team comprenda come verra giudicato il buon esito del progetto,Per non dover mai fare riunioni con il cliente,C
Come si gestisce l ambiguita iniziale sui requisiti quando si redige la charter,Si ignora completamente e si pianifica comunque,Si scrive un grado di incertezza e si prevede una fase di elaborazione successiva,Si assegna colpa al fornitore,Si aspetta la fase di controllo,B
